id;name;geoid;geoname;value;datetime
686;Precio de cobro desvíos a subir;;;-8.52;2024-05-07T17:00:00+02:00
686;Precio de cobro desvíos a subir;;;-1.75;2024-05-07T18:00:00+02:00
686;Precio de cobro desvíos a subir;;;2.17;2024-05-07T19:00:00+02:00
686;Precio de cobro desvíos a subir;;;-2.9;2024-05-07T20:00:00+02:00
686;Precio de cobro desvíos a subir;;;37.45;2024-05-07T21:00:00+02:00
686;Precio de cobro desvíos a subir;;;24.98;2024-05-07T22:00:00+02:00
686;Precio de cobro desvíos a subir;;;16.04;2024-05-07T23:00:00+02:00
686;Precio de cobro desvíos a subir;;;20.96;2024-05-08T00:00:00+02:00
686;Precio de cobro desvíos a subir;;;10.28;2024-05-08T01:00:00+02:00
686;Precio de cobro desvíos a subir;;;11.69;2024-05-08T02:00:00+02:00
686;Precio de cobro desvíos a subir;;;5.85;2024-05-08T03:00:00+02:00
686;Precio de cobro desvíos a subir;;;64.79;2024-05-08T04:00:00+02:00
686;Precio de cobro desvíos a subir;;;7.18;2024-05-08T05:00:00+02:00
686;Precio de cobro desvíos a subir;;;3.35;2024-05-08T06:00:00+02:00
686;Precio de cobro desvíos a subir;;;7.34;2024-05-08T07:00:00+02:00
686;Precio de cobro desvíos a subir;;;-10.07;2024-05-08T08:00:00+02:00
686;Precio de cobro desvíos a subir;;;3.84;2024-05-08T09:00:00+02:00
686;Precio de cobro desvíos a subir;;;-2.48;2024-05-08T10:00:00+02:00
686;Precio de cobro desvíos a subir;;;-1.54;2024-05-08T11:00:00+02:00
686;Precio de cobro desvíos a subir;;;-1.18;2024-05-08T12:00:00+02:00
686;Precio de cobro desvíos a subir;;;-0.58;2024-05-08T13:00:00+02:00
686;Precio de cobro desvíos a subir;;;0.01;2024-05-08T14:00:00+02:00
686;Precio de cobro desvíos a subir;;;0;2024-05-08T15:00:00+02:00
686;Precio de cobro desvíos a subir;;;0;2024-05-08T16:00:00+02:00
686;Precio de cobro desvíos a subir;;;0;2024-05-08T17:00:00+02:00
686;Precio de cobro desvíos a subir;;;-1.06;2024-05-08T18:00:00+02:00
686;Precio de cobro desvíos a subir;;;-3.23;2024-05-08T19:00:00+02:00
686;Precio de cobro desvíos a subir;;;-4.75;2024-05-08T20:00:00+02:00
686;Precio de cobro desvíos a subir;;;63.38;2024-05-08T21:00:00+02:00
